IdCFC;NúmeroSala;Capacidade
0000761389;1;23
0000011564;1;23
0000581690;1;23
0001571753;1;23
0000761760;1;23
0001121774;1;23
0000011788;1;23
0000011837;1;23
0000011872;1;23
0000102026;1;23
0000432047;1;23
0000252145;1;23
0000102208;1;23
0000042320;1;23
0000160017;1;24
0000940031;1;24
0000490066;1;24
0000940108;1;24
0006490122;1;24
0020920122;1;24
0024010122;1;24
0028870122;1;24
0033100122;1;24
0037000122;1;24
0038410122;1;24
0040660122;1;24
0041980122;1;24
0001450178;1;24
0000790276;1;24
0000940276;1;24
0000460283;1;24
0000250416;1;24
0003400535;1;24
0000460577;1;24
0000280612;1;24
0000160626;1;24
0000130633;1;24
0000280633;1;24
0000010647;1;24
0000070675;1;24
0000160689;1;24
0000310689;1;24
0000130780;1;24
0000100864;1;24
0000130899;1;24
0000131004;1;24
0006851018;1;24
0021581116;1;24
0000011333;1;24
0000701676;1;24
0000131837;1;24
0000221844;1;24
0000401893;1;24
0000342047;1;24
0000312117;1;24
0000222145;1;24
;1;25
0000040003;1;25
0000280003;1;25
0000460003;1;25
0002380003;1;25
0000490010;1;25
0000460024;1;25
0001630031;1;25
0000490038;1;25
0002260045;1;25
0003610045;1;25
0004390045;1;25
0000220052;1;25
0000790059;1;25
0000910059;1;25
0000220066;1;25
0000010108;1;25
0024250122;1;25
0026650122;1;25
0027430122;1;25
0028900122;1;25
0028960122;1;25
0029710122;1;25
0036130122;1;25
0038080122;1;25
0038530122;1;25
0038980122;1;25
0040750122;1;25
0040990122;1;25
0041380122;1;25
0042370122;1;25
0042520122;1;25
0299860122;1;25
0001990129;1;25
0000160136;1;25
0001990136;1;25
0001510164;1;25
0000100192;1;25
0000130192;1;25
0000310199;1;25
0000580213;1;25
0000730213;1;25
0000340220;1;25
0000400220;1;25
0000610234;1;25
0004390241;1;25
0000220248;1;25
0000040283;1;25
0000010318;1;25
0000190360;1;25
0000040374;1;25
0000430416;1;25
0000070430;1;25
0000160486;1;25
0000460535;1;25
0000370549;1;25
0000130570;1;25
0000010577;1;25
0000070619;1;25
0000040668;1;25
0000430689;1;25
0000070696;1;25
0000010710;1;25
0000820710;1;25
0001030710;1;25
0001060710;1;25
0000190759;1;25
0000010773;1;25
0000010794;1;25
0000190829;1;25
0001210850;1;25
0000040871;1;25
0000070871;1;25
0000010892;1;25
0000580913;1;25
0001120920;1;25
0000310927;1;25
0000160962;1;25
0000520976;1;25
0006641018;1;25
0000071032;1;25
