IdCFC;Situacao;Média Aprovados;NomeFantasia;RazaoSocial;CNPJ;Endereco;Número;Bairro;Municipio;Telefone;Tipo;PessoaComDeficiencia;Recliclagem;Simulador;Média das avaliações: item Ensino;Média das avaliações: item Transparência;Média das avaliações: item Instalações;Média das avaliações: item Atendimento;Média das avaliações: item Agenda;Média das avaliações: item Preço;Média das avaliações: item Localização;Quantidade de avaliações;Nota média das avaliações
0000252131;Bloqueado;0;A E Sao Roque;Mendonca E Roque Ltda - Me;12109626000110;Av Domingos C Grimaldi;32;Centro;Peruibe;(013) 3453-4604;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000520136;Credenciado;54;A E Sao Sebastiao;Centro Form De Condutores Sao Sebastiao S/c Ltda.;04936154000140;R Dr Souza Alves;626;Centro;Taubate;(012) 3424-3824;Pratico;Nao;Nao;Nao;4.9;4.6;4.4;4.5;4.5;4.7;4.8;13;4.6
0001510143;Bloqueado;0;A E Senne;A E Senne Ltda;03317899000169;Rua Padre Conrado;790;V Santos Dumont;Franca;(016) 3723-3500;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000250171;Bloqueado;0;A E Serafim & Braga;Centro De Formacao Serafim & Braga S/c Ltda;51315216000187;Rua Santa Barbara;10;Centro;Braganca Paulista;(011) 4034-0060;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000790178;Bloqueado;0;A E Sete De Setembro;Auto Moto Escola Sete De Setembro S/c Ltda;01638680000136;Rua Sete De Setembro;3204;Centro;Sao Carlos;(016) 2726-249;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000101774;Bloqueado;75;A E Silvia Helena;Auto Moto Escola Silvia Helena S/s Ltda;01150439000163;Est Do Mandi;618;Mandi;Itaquaquecetuba;(011) 4645-4344;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000460150;Credenciado;80;A E Sinal Verde;Autoescola Sinal Verde De Chavantes Ltda;06540995000160;R Sen Mello Peixoto;327;Centro;Chavantes;(014) 3342-1960;Teorico e pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000071200;Bloqueado;0;A E Sinal Verde;Auto Escola Sinal Verde;08219061000156;Av Joao Rodrigues Fernandes;5664;Centro;Auriflama;(017) 3482-2933;Teorico e pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000070584;Bloqueado;0;A E Sinal Verde;Suguiura & Fernandes S C Ltda;02294996000110;Av Jonas Alves De Mello;1536;Centro;Pereira Barreto;(018) 3704-2991;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000580535;Bloqueado;100;A E Sinal Verde;Auto Escola Sinal Verde S/c Ltda;02906324000119;Rua Francisco Rafael;122;Centro;Sao Jose Dos Campos;(012) 3921-2330;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000790143;Credenciado;66;A E Status;Auto Escola Status Sc Ltda Me;03649439000138;R Hercilio Batista Avelar;789;Paruq Progresso;Franca;(016) 3702-7742;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0002411662;Bloqueado;0;A E Styllos Ii;Cfc Weverson E Silva Ltda Me;11602061000145;Av Dona Ruyce Ferraz Alvim;2014;Vila Nogueira;Diadema;(011) 4044-1168;Pratico;Nao;Nao;Nao;4.7;4.7;4.7;5.0;4.7;4.5;5.0;3;4.8
0001001515;Credenciado;76;A E Suprema;Cfc Suprema Ha Ltda Me;97550105000156;R Santa Luzia;679;Vl Santa Luzia;Taboao Da Serra;(011) 4137-2996;Pratico;Nao;Nao;Sim;4.1;3.7;3.4;4.6;3.9;4.0;4.1;7;4.0
0000731515;Bloqueado;0;A E Suprema;Auto Escola Nova Suprema Sc Ltda Me;00553631000138;Estr Kizaemon Takeuti;3021;Jd Pirqajussara;Taboao Da Serra;(011) 4137-8273;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0050981515;Bloqueado;0;A E Suprema;Cfc Suprema Master Ltda Me;16434101000100;Estr Kizaemon Takeuti;1738;Jd Roberto;Taboao Da Serra;(011) 4137-2996;Teorico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000821774;Bloqueado;0;A E Talisma Ii;Cfc B Vantini E Fenerich Ltda;06341089000136;Praca Padre Joao Alvares;176;Centro;Itaquaquecetuba;(011) 4753-2749;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000850976;Baixada;0;A E Teorico Atibaia;L Centro Formacao De Cond Teorico Atibaia Ltda Me;28037506000194;Rua Joao Pires;176;Centro;Atibaia;(011) 7137-1933;Teorico;Nao;Nao;Nao;4.5;3.5;4.0;3.5;1.0;3.0;4.5;2;3.4
0031450122;Bloqueado;0;A E Topazio Ii;Cfc Souza Mendes Ltda Me;07324682000137;Av Ten Amaro Da Silveira;1320;Pq Novo Mundo;Sao Paulo;(011) 6954-4901;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001060535;Credenciado;54;A E Transforma;Formatran Centro - Centro De Formacao Cond Ltda;04945219000114;Rua Sebastiao Humel;439;Centro;Sao Jose Dos Campos;(012) 3341-4028;Pratico;Nao;Nao;Nao;4.6;4.7;4.2;4.7;4.4;4.7;4.7;10;4.6
0000820143;Baixada;0;A E Transito Livre;Cfc Cat B Transito Livre Sc Ltda;00000000000000;Av Adhemar P De Barros;444;J Riviera;Franca;(016) 7274-471;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0011560122;Bloqueado;0;A E Trevo;Ronaldo Beneton;00000000000000;R Edmundo Carvalho;129;V Natalia;Sao Paulo;(011) 6946-9373;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0001600143;Credenciado;71;A E Uniao;Ae Uniao Sc Ltda;51821262000310;R General Carneiro;1824;Centro;Franca;(016) 3722-3040;Pratico;Nao;Nao;Nao;4.6;4.6;4.6;4.8;4.6;4.8;4.8;11;4.7
0000490108;Baixada;0;A E Uniao;Auto Escola Uniao Ltda.me;44965341000177;Av Pedro Lessa;1602;Estuario;Santos;(016) 2365-111;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0000910143;Baixada;0;A E Unika;Auto Escola Unika Sc Ltda;00000000000000;R Dr Julio Cardoso;2312;Centro;Franca;(016) 7225-290;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000520108;Baixada;0;A E Via Brasil;Jose Geraldo De Luna Me;06239298000173;Av Nossa Sra De Fatima;620;Sta Maria;Santos;(011) 3627-7000;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000970143;Bloqueado;0;A E Vida;Auto Escola Vida Sc Ltda;02243451000185;Av Brasil;2491;V Aparecida;Franca;(016) 3725-1438;Pratico;Nao;Nao;Nao;--;--;--;--;--;--;--;0;--
0001300157;Baixada;0;A E Vila Alice;Auto Escola Vila Alice Ltda;00000000000000;Rua Ita;65;Vl Alice;Santo Andre;(011) 4498-280;Pratico;Nao;Nao;Sim;--;--;--;--;--;--;--;0;--
0000640164;Bloqueado;0;A E Vila Arens;Centro De Formacao De Cond Vila Arens Ltda;50953850000182;Rua Italia;262;Jd Cica;Jundiai;(011) 4526-4224;Pratico;Nao;Nao;Nao;4.8;4.1;3.8;4.6;3.1;4.0;4.8;8;4.2
